index_x,sex,cage,mouseid,Eating,Drinking,Climbing_the_net,Curling_up,Straightening_up,Bending,Grooming,Standing,Stillness,Walking,Travel_distance,Group_of_three_mice,Rest,Rest_count,Short_sleep,Short_sleep_count,Long_sleep,Long_sleep_count,Group_of_two_mice,testage3,dietary,TestAge,Sex,Dietary,index_y,median_area,median_c,median_k,median_len,q1_area,q1_c,q1_k,q1_len,q3_area,q3_c,q3_k,q3_len,mouse_uid
1375,0,D13,mouse2,7664.5,4.5,67.8,14375.3,44827.4,4041.0,123.4,5339.3,1583.2,929.2,16.11,1587.4,13459.5,73,11477.5,29,7860.2,9,16540.8,3,Control,3.0,0,Control,36.0,5449.33333333333,77.0,71.3333333333333,298.666666666667,4789.0,65.3333333333333,62.6666666666667,280.0,6358.0,89.0,82.0,324.666666666667,male_D13
2139,0,D17,mouse1,5333.85,964.6,7.15,9061.45,39034.8,2578.0,29.75,32275.2,1102.55,1007.4,18.76,716.75,24618.2,135,10469.0,26,12895.85,16,21145.6,16,Control,16.0,0,Control,547.0,10409.3333333333,98.6666666666667,103.333333333333,414.0,8786.0,85.6666666666667,89.0,380.666666666667,12089.3333333333,115.666666666667,120.333333333333,446.666666666667,male_D17
2289,0,D04,mouse1,13183.5,665.1,38.0,11375.15,43771.5,2214.4,106.75,3362.45,1030.05,912.25,16.85,5593.05,13181.75,71,8688.25,20,12829.0,14,38098.85,19,Control,19.0,0,Control,672.0,8936.66666666667,90.3333333333333,100.333333333333,385.333333333333,7853.0,77.3333333333333,85.0,360.0,10248.6666666667,105.333333333333,116.0,411.333333333333,male_D04
2046,0,D07,mouse1,3711.7,37.35,29.5,10001.55,56654.2,5469.45,9.05,7307.35,2831.45,770.2,16.25,2429.5,15803.4,83,13194.3,31,17029.95,13,26215.05,14,Control,14.0,0,Control,492.0,9590.66666666667,101.666666666667,93.3333333333333,396.666666666667,8728.0,88.0,82.0,377.333333333333,10546.3333333333,116.666666666667,107.666666666667,418.666666666667,male_D07
529,1,D11,mouse2,5183.7,88.85,1.15,13969.9,42843.0,4529.65,14.95,5590.55,1273.15,895.65,14.1,2029.4,14148.0,71,10131.0,25,17609.75,18,20587.15,11,Control,11.0,1,Control,341.0,7174.33333333333,88.3333333333333,82.3333333333333,341.333333333333,6146.66666666667,78.6666666666667,71.0,316.666666666667,8323.33333333333,97.6666666666667,94.0,369.333333333333,female_D11
194,1,D17,mouse3,595.5,0.7,34.8,9670.7,27936.5,742.5,6.5,16823.1,278.5,435.8,7.98,697.1,7286.7,37,9181.8,20,18610.3,17,13129.5,6,Control,6.0,1,Control,135.0,4862.33333333333,72.0,68.6666666666667,281.333333333333,4281.66666666667,62.3333333333333,61.6666666666667,263.333333333333,5735.33333333333,83.3333333333333,78.0,307.333333333333,female_D17
729,1,D11,mouse1,5853.5,352.1,0.1,10137.1,46537.95,1380.85,14.5,6811.1,664.05,795.95,14.34,2732.7,12652.2,66,15261.6,38,10761.7,11,21255.85,14,Control,14.0,1,Control,473.0,7849.66666666667,89.3333333333333,86.0,360.0,6694.0,77.6666666666667,74.6666666666667,330.666666666667,8795.66666666667,105.333333333333,99.0,380.666666666667,female_D11
208,1,D22,mouse2,5496.1,2.5,63.1,4533.7,18230.6,589.5,1.0,46346.1,262.2,1193.4,17.84,838.9,11755.5,63,11014.5,26,11921.2,10,21393.3,6,Control,6.0,1,Control,140.0,4823.0,71.3333333333333,67.3333333333333,280.0,4276.33333333333,62.0,60.3333333333333,264.0,5719.66666666667,82.6666666666667,76.3333333333333,307.333333333333,female_D22
392,1,D11,mouse3,5140.2,58.4,12.8,16337.1,40549.9,1757.35,14.65,3325.55,1187.4,563.25,10.03,1971.7,14995.7,79,11610.05,28,17430.45,18,22121.3,9,Control,9.0,1,Control,247.0,6499.66666666667,80.6666666666667,80.3333333333333,325.333333333333,5621.33333333333,69.6666666666667,71.3333333333333,302.666666666667,7684.66666666667,94.6666666666667,90.3333333333333,356.0,female_D11
777,1,D04,mouse1,6375.05,532.0,14.6,12688.35,46733.75,3716.75,84.0,11277.2,693.05,786.2,15.84,572.15,16344.95,89,16354.95,41,10716.1,13,14001.8,16,Control,16.0,1,Control,510.0,7713.0,86.3333333333333,89.6666666666667,356.0,6938.0,75.3333333333333,77.0,336.666666666667,8620.66666666667,98.3333333333333,103.666666666667,377.333333333333,female_D04
